Score,Slice,
9.4,Di Fara Pizza,
9.4,John's of Bleecker St.,
9.3,Lazzara's Pizza Cafe,
9.3,Angelo's Coal Oven Pizzeria,
9.1,Best Pizza,
9,Vezzo Thin Crust Pizza,
9,Denino's Greenwich Village,
8.9,Ralph's Pizza,
8.7,Vinny Vincenz Pizza,
8.7,Ignazio's,
8.6,Prince Street Pizza,
8.6,Rizzo's Fine Pizza,
8.6,Patsy's Pizzeria,
8.6,Williamsburg Pizza,
8.5,Double Zero,
8.5,Joe's Pizza,
8.5,Lil' Frankie's,
8.4,John's of Times Square,
8.4,Luzzo's La Pizza Napoletana,
8.4,NY Pizza Suprema,
8.4,Saba's Pizza,
8.4,Luigi's Pizza,
8.4,Joe & Pat's ,
8.3,Speedy Romeo,
8.2,Brickoven Pizza 33,
8.2,Brunetti Pizza,
8.2,Merilu Pizza Al Metro,
8.2,Saluggi's,
8.2,Numero 28 Pizzeria,
8.2,Stromboli Pizza,
8.1,Cafe Daniello's Pizza on 2nd,
8.1,Champion Pizza Soho,
8.1,Francesco's Pizza,
8.1,Luigi's Gourmet Pizza,
8.1,Neapolitan Express - Wall Street,
8.1,Lunetta,
8.1,Rose's Pizza and Pasta,
8.1,PizzArte,
8.1,Rubirosa,
8.1,Sacco Pizza,
8.1,Sal's Little Italy,
8.1,310 Bowery Bar,
8.1,Freddie & Peppers,
8,Eataly NYC Downtown,
8,East Village Pizza & Kebabs,
8,Grimaldi's Pizza,
8,La Margarita,
7.9,Arturo's,
7.9,Artichoke Pizza,
7.9,Borrelli's,
7.9,Grimaldi's Pizzeria Limelight,
7.9,Motorino,
7.9,Manhattan Brick Oven Pizza & Grill,
7.9,Patrizia's of Manhattan,
7.9,Pastafina Pizza,
7.9,Sofia Pizza Shoppe,
7.9,Resette,
7.9,Rock Pizza Scissors,
7.9,II Mattone West Village,
7.9,Martina Pizzeria,
7.9,Lee's Tavern ,
7.9,L'industrie Pizzeria ,
7.8,Adoro Lei,
7.8,Louie & Ernie's Pizza,
7.8,New Park Pizza,
7.8,Norma Gastronomia Siciliana,
7.8,Pizza Paradise,
7.8,Joe's Pizza,
7.8,Serafina,
7.8,Waldy's,
7.8,Pizza Da Solo,
7.8,La Bellezza Pizza,
7.8,Emmett's Chicago Style Pizza,
7.8,Frank's Trattoria,
7.8,Bocce,
7.7,Italian Village,
7.7,Phil's Pizza,
7.7,Scarr's Pizza,
7.7,Song' e Napule NYC,
7.7,Mike's Pizza,
7.7,Pugsley Pizza,
7.7,Pepe Giallo,
7.7,Tre Giovani,
7.6,Pie by the Pound,
7.6,Umberto's,
7.5,Love & Dough,
7.5,Royal Pizza,
7.4,Cavallo's Pizzeria,
7.4,Filaga Pizzeria,
7.4,Famous Famiglia Pizza,
7.4,Gnocco,
7.4,Justino's Pizza,
7.4,L&B Spumoni Gardens,
7.4,PECORINO ARTICHOKE PIZZA,
7.4,Napoli's ,
7.4,Prova Pizzabar,
7.4,The Woodstock,
7.3,Baker's Pizza,
7.3,Harry's Italian Pizza Bar,
7.3,Tappo,
7.3,Teresa's Brick Oven Pizza & Cafe,
7.3,Marinara Pizza,
7.2,Bella Blu,
7.2,Cafe Fiorello,
7.2,Co.,
7.2,Emily,
7.2,Pizza Barn,
7.2,Proto's Pizza,
7.2,Sal and Carmine Pizza,
7.2,Stone Bridge Pizza & Salad,
7.2,Oregano's Pizza Bistro,
7.2,Sal & Carmine,
7.2,L'Amico,
7.2,Follia ,
7.2,Zero Otto Nove ,
7.2,Corner Slice ,
7.2,Cafe Crust,
7.1,Capizzi,
7.1,Cucina Bene Pizza,
7.1,Dirty Water Dough Company,
7.1,Uncle Mario's Brick Oven Pizza,
7.1,Kiss My Slice Pizza,
7.1,La Bellezza Pizza,
7.1,Majestic Pizza,
7.1,New York Sal's Pizza,
7.1,Nove,
7.1,Sorbillo Pizzeria,
7.1,La Pizza Fresca,
7.1,Zia Maria ,
7.1,Lions and Tigers and Squares,
7.1,Il Corallo Trattoria,
7.1,Vinnie’s Pizzeria,
7,Fiore's Pizza,
6.9,Bleecker Street,
6.9,Gotham Pizza,
6.9,Girello,
6.9,Juliana's,
6.9,PN Wood Fired Pizza,
6.9,Mariella Pizza,
6.9,Nick's Pizzabar,
6.9,Nino's 46,
6.9,Ovest Pizzoteca,
6.9,Mani in Pasta,
6.9,Village Pizza,
6.9,Joe G Pizza & Restaurant,
6.8,AperiTivo Pizza Bar,
6.8,Casabianca Pizzeria,
6.8,Garlic New York Pizza Bar,
6.8,Mama's TOO!,
6.8,Nizza,
6.8,J's Pizza,
6.8,Massoni,
6.8,Bricco ,
6.8,Benny Tudino's ,
6.8,The Original Goodfellas,
6.8,Little Vincent's ,
6.8,Melani Pizzeria,
6.8,Simo Pizza,
6.8,La Trattoria,
6.7,John & Tony's Pizzeria,
6.7,La Mia Pizza,
6.7,Tre Sorelle,
6.6,Cassiano's Pizza,
6.6,Muzzarella Pizza,
6.6,Nick's Pizza,
6.6,The Pizza Joint,
6.6,Pizza by Certé,
6.6,Pizza Rollio,
6.6,Not Ray’s Pizza,
6.5,Bond 45,
6.5,Pie's On Wheels,
